Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,200000.000000,201000.000000,199000.000000,200000.000000,195206.515625,594666
2021-10-01,198000.000000,199000.000000,192000.000000,193500.000000,188862.296875,1182422
2021-10-05,191000.000000,195000.000000,189000.000000,193500.000000,188862.296875,1056472
2021-10-06,195000.000000,197500.000000,192500.000000,194000.000000,189350.312500,913916
2021-10-07,194500.000000,203000.000000,194500.000000,201000.000000,196182.546875,1066226
2021-10-08,203500.000000,206500.000000,202500.000000,205000.000000,200086.671875,993219
2021-10-12,205000.000000,206500.000000,202000.000000,204500.000000,199598.656250,820163
2021-10-13,206500.000000,211500.000000,206500.000000,211000.000000,205942.875000,1169924
2021-10-14,211500.000000,212000.000000,208000.000000,209000.000000,203990.796875,863110
2021-10-15,210500.000000,211500.000000,208000.000000,208500.000000,203502.781250,530328
2021-10-18,208000.000000,210500.000000,205000.000000,209500.000000,204478.812500,607227
2021-10-19,210500.000000,212000.000000,208000.000000,209000.000000,203990.796875,428739
2021-10-20,210000.000000,211000.000000,208000.000000,209000.000000,203990.796875,472664
2021-10-21,209500.000000,211000.000000,206000.000000,207500.000000,202526.750000,775441
2021-10-22,207000.000000,209500.000000,206000.000000,207500.000000,202526.750000,362676
2021-10-25,207500.000000,212000.000000,206000.000000,211000.000000,205942.875000,649860
2021-10-26,213000.000000,214500.000000,209000.000000,213500.000000,208382.953125,782736
2021-10-27,214500.000000,215000.000000,212500.000000,213500.000000,208382.953125,606729
2021-10-28,213000.000000,214000.000000,209500.000000,210000.000000,204966.843750,633732
2021-10-29,211500.000000,212500.000000,206500.000000,208000.000000,203014.765625,667275
2021-11-01,208000.000000,209500.000000,207000.000000,208000.000000,203014.765625,395091
2021-11-02,208000.000000,211500.000000,207500.000000,210000.000000,204966.843750,417645
2021-11-03,211000.000000,212000.000000,207000.000000,208500.000000,203502.781250,476081
2021-11-04,211000.000000,216000.000000,210000.000000,214000.000000,208870.968750,1122870
2021-11-05,216500.000000,217000.000000,214000.000000,215000.000000,209847.000000,686779
2021-11-08,214500.000000,216500.000000,212500.000000,215000.000000,209847.000000,532328
2021-11-09,216000.000000,217000.000000,212000.000000,213000.000000,207894.937500,620316
2021-11-10,211000.000000,211500.000000,206500.000000,208500.000000,203502.781250,680033
2021-11-11,205500.000000,206500.000000,203500.000000,205000.000000,200086.671875,710080
2021-11-12,205000.000000,209500.000000,205000.000000,208000.000000,203014.765625,415172
2021-11-15,208000.000000,210000.000000,207000.000000,209000.000000,203990.796875,377424
2021-11-16,208000.000000,208000.000000,205000.000000,206500.000000,201550.718750,515194
2021-11-17,206500.000000,209000.000000,203000.000000,207000.000000,202038.734375,715192
2021-11-18,205500.000000,206500.000000,204000.000000,205000.000000,200086.671875,562783
2021-11-19,211500.000000,212500.000000,208000.000000,209500.000000,204478.812500,829314
2021-11-22,209500.000000,220000.000000,207500.000000,218500.000000,213263.109375,1620439
2021-11-23,219000.000000,219500.000000,213500.000000,215000.000000,209847.000000,818782
2021-11-24,215500.000000,216000.000000,211000.000000,212000.000000,206918.906250,652274
2021-11-25,212500.000000,212500.000000,210000.000000,210000.000000,204966.843750,414037
2021-11-26,209500.000000,210000.000000,204000.000000,205500.000000,200574.687500,901184
2021-11-29,199500.000000,203500.000000,199500.000000,200500.000000,195694.531250,901640
2021-11-30,202000.000000,203500.000000,194500.000000,195500.000000,190814.359375,1313581
2021-12-01,198500.000000,202000.000000,196500.000000,201000.000000,196182.546875,741594
2021-12-02,198500.000000,206000.000000,198000.000000,205500.000000,200574.687500,782923
2021-12-03,205500.000000,208000.000000,204500.000000,206000.000000,201062.703125,514358
2021-12-06,204500.000000,208000.000000,202500.000000,206500.000000,201550.718750,503652
2021-12-07,206000.000000,208000.000000,204000.000000,207500.000000,202526.750000,501624
2021-12-08,210000.000000,211000.000000,207000.000000,207500.000000,202526.750000,502904
2021-12-09,207000.000000,210000.000000,206500.000000,207000.000000,202038.734375,775215
2021-12-10,207000.000000,209500.000000,205500.000000,207500.000000,202526.750000,443350
2021-12-13,210000.000000,214000.000000,209000.000000,209000.000000,203990.796875,877690
2021-12-14,208000.000000,212000.000000,207500.000000,211000.000000,205942.875000,499536
2021-12-15,210500.000000,211500.000000,208500.000000,209000.000000,203990.796875,436219
2021-12-16,211500.000000,212000.000000,208000.000000,209500.000000,204478.812500,457620
2021-12-17,208500.000000,211500.000000,208000.000000,209500.000000,204478.812500,623863
2021-12-20,209000.000000,209500.000000,204500.000000,205000.000000,200086.671875,542620
2021-12-21,206000.000000,207500.000000,204000.000000,205000.000000,200086.671875,548609
2021-12-22,207000.000000,209500.000000,205500.000000,206500.000000,201550.718750,480545
2021-12-23,208000.000000,209000.000000,207000.000000,209000.000000,203990.796875,372738
2021-12-24,210500.000000,216500.000000,210500.000000,215500.000000,210335.015625,1024355
2021-12-27,216500.000000,217000.000000,213500.000000,213500.000000,208382.953125,530039
2021-12-28,215000.000000,215000.000000,211500.000000,214000.000000,208870.968750,880326
2021-12-29,213000.000000,215000.000000,211500.000000,212000.000000,210860.218750,659392
2021-12-30,211500.000000,212000.000000,208500.000000,209000.000000,207876.343750,581448
2022-01-04,212500.000000,212500.000000,208500.000000,210000.000000,208870.968750,499857
2022-01-05,214000.000000,217500.000000,212000.000000,213500.000000,212352.156250,1175411
2022-01-06,210000.000000,216500.000000,210000.000000,214000.000000,212849.468750,866582
2022-01-07,214500.000000,216500.000000,213500.000000,215000.000000,213844.093750,577852
2022-01-10,214000.000000,215000.000000,209000.000000,209500.000000,208373.656250,744261
2022-01-11,209500.000000,211500.000000,209000.000000,210500.000000,209368.281250,482235
2022-01-12,211500.000000,213000.000000,210500.000000,211500.000000,210362.906250,470451
2022-01-13,211500.000000,213000.000000,210000.000000,210000.000000,208870.968750,499094
2022-01-14,209500.000000,211000.000000,208000.000000,209000.000000,207876.343750,406569
2022-01-17,208500.000000,209000.000000,202500.000000,205000.000000,203897.843750,724213
2022-01-18,206000.000000,206000.000000,201500.000000,202500.000000,201411.296875,580959
2022-01-19,200500.000000,203500.000000,200000.000000,200500.000000,199422.046875,525014
2022-01-20,200500.000000,202500.000000,199500.000000,202000.000000,200913.984375,451581
2022-01-21,199500.000000,201000.000000,198500.000000,200000.000000,198924.734375,513891
2022-01-24,197500.000000,200000.000000,195000.000000,197000.000000,195940.859375,659010
2022-01-25,196500.000000,197000.000000,190000.000000,194500.000000,193454.296875,1174185
2022-01-26,194500.000000,194500.000000,194500.000000,194500.000000,193454.296875,0
2022-01-27,190000.000000,191500.000000,185500.000000,186500.000000,185497.312500,1072651
2022-01-28,186500.000000,186500.000000,186500.000000,186500.000000,185497.312500,0
2022-02-03,193000.000000,195500.000000,191500.000000,191500.000000,190470.437500,837241
2022-02-04,190500.000000,192000.000000,188000.000000,190000.000000,188978.500000,837609
2022-02-07,189500.000000,190000.000000,184500.000000,186500.000000,185497.312500,829365
2022-02-08,186500.000000,186500.000000,186500.000000,186500.000000,185497.312500,0
2022-02-09,186500.000000,186500.000000,186500.000000,186500.000000,185497.312500,0
2022-02-10,186000.000000,187000.000000,182500.000000,185500.000000,184502.687500,1280607
2022-02-11,183000.000000,184500.000000,181000.000000,183000.000000,182016.125000,1001635
2022-02-14,179500.000000,181000.000000,176000.000000,176500.000000,175551.078125,1380176
2022-02-15,177000.000000,183000.000000,176500.000000,180500.000000,179529.578125,961742
2022-02-16,184500.000000,185500.000000,181000.000000,182000.000000,181021.500000,561867
2022-02-17,183000.000000,186000.000000,181000.000000,183500.000000,182513.437500,767679
2022-02-18,181000.000000,184000.000000,180500.000000,183500.000000,182513.437500,426090
2022-02-21,183500.000000,183500.000000,183500.000000,183500.000000,182513.437500,0
2022-02-22,183500.000000,183500.000000,183500.000000,183500.000000,182513.437500,0
2022-02-23,183500.000000,183500.000000,183500.000000,183500.000000,182513.437500,0
2022-02-24,178500.000000,179000.000000,171000.000000,173000.000000,172069.890625,1722526
2022-02-25,175000.000000,175500.000000,171500.000000,174000.000000,173064.515625,949885
2022-02-28,174000.000000,174000.000000,174000.000000,174000.000000,173064.515625,0
2022-03-02,171500.000000,172500.000000,169500.000000,170500.000000,169583.328125,1384049
